#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
   3.850410  0.236301E+01  0.106147E+00
   3.877620  0.236261E+01  0.114633E+00
   3.904840  0.236211E+01  0.122827E+00
   3.932050  0.236121E+01  0.130627E+00
   3.959260  0.236001E+01  0.137797E+00
   3.986470  0.235881E+01  0.144403E+00
   4.013680  0.235763E+01  0.150742E+00
   4.040890  0.235629E+01  0.156886E+00
   4.068100  0.235466E+01  0.162710E+00
   4.095310  0.235280E+01  0.168045E+00
   4.122530  0.235086E+01  0.172775E+00
   4.149740  0.234909E+01  0.176911E+00
   4.176950  0.234770E+01  0.180639E+00
   4.204160  0.234669E+01  0.184245E+00
   4.231370  0.234589E+01  0.187873E+00
   4.258580  0.234515E+01  0.191495E+00
   4.285790  0.234446E+01  0.195067E+00
   4.313010  0.234381E+01  0.198577E+00
   4.340220  0.234320E+01  0.202022E+00
   4.367430  0.234262E+01  0.205418E+00
   4.394640  0.234206E+01  0.208787E+00
   4.421850  0.234147E+01  0.212128E+00
   4.449060  0.234080E+01  0.215398E+00
   4.476270  0.234007E+01  0.218546E+00
   4.503490  0.233927E+01  0.221516E+00
   4.530700  0.233850E+01  0.224257E+00
   4.557910  0.233782E+01  0.226795E+00
   4.585120  0.233729E+01  0.229189E+00
   4.612330  0.233689E+01  0.231480E+00
   4.639540  0.233664E+01  0.233698E+00
   4.666750  0.233653E+01  0.235883E+00
   4.693970  0.233654E+01  0.238065E+00
   4.721180  0.233663E+01  0.240246E+00
   4.748390  0.233682E+01  0.242431E+00
   4.775600  0.233709E+01  0.244644E+00
   4.802810  0.233742E+01  0.246910E+00
   4.830020  0.233776E+01  0.249229E+00
   4.857230  0.233806E+01  0.251575E+00
   4.884450  0.233832E+01  0.253906E+00
   4.911660  0.233855E+01  0.256183E+00
   4.938870  0.233876E+01  0.258390E+00
   4.966080  0.233897E+01  0.260519E+00
   4.993290  0.233916E+01  0.262543E+00
   5.020500  0.233939E+01  0.264418E+00
   5.047710  0.233973E+01  0.266134E+00
   5.074930  0.234025E+01  0.267762E+00
   5.102140  0.234093E+01  0.269372E+00
   5.129350  0.234175E+01  0.270989E+00
   5.156560  0.234270E+01  0.272633E+00
   5.183770  0.234377E+01  0.274330E+00
   5.210980  0.234492E+01  0.276099E+00
   5.238190  0.234611E+01  0.277935E+00
   5.265400  0.234733E+01  0.279823E+00
   5.292620  0.234856E+01  0.281752E+00
   5.319830  0.234980E+01  0.283705E+00
   5.347040  0.235104E+01  0.285662E+00
   5.374250  0.235230E+01  0.287607E+00
   5.401460  0.235357E+01  0.289539E+00
   5.428670  0.235487E+01  0.291456E+00
   5.455880  0.235620E+01  0.293356E+00
   5.483100  0.235755E+01  0.295238E+00
   5.510310  0.235892E+01  0.297089E+00
   5.537520  0.236031E+01  0.298879E+00
   5.564730  0.236174E+01  0.300571E+00
   5.591940  0.236331E+01  0.302162E+00
   5.619150  0.236505E+01  0.303715E+00
   5.646360  0.236696E+01  0.305310E+00
   5.673580  0.236899E+01  0.306986E+00
   5.700790  0.237108E+01  0.308733E+00
   5.728000  0.237323E+01  0.310529E+00
   5.755210  0.237544E+01  0.312356E+00
   5.782420  0.237770E+01  0.314215E+00
   5.809630  0.238002E+01  0.316102E+00
   5.836840  0.238240E+01  0.318017E+00
   5.864060  0.238485E+01  0.319965E+00
   5.891270  0.238734E+01  0.321942E+00
   5.918480  0.238989E+01  0.323942E+00
   5.945690  0.239250E+01  0.325962E+00
   5.972900  0.239516E+01  0.328008E+00
   6.000110  0.239788E+01  0.330071E+00
   6.027320  0.240067E+01  0.332149E+00
   6.054540  0.240352E+01  0.334242E+00
   6.081750  0.240643E+01  0.336348E+00
   6.108960  0.240941E+01  0.338454E+00
   6.136170  0.241247E+01  0.340554E+00
   6.163380  0.241564E+01  0.342651E+00
   6.190590  0.241893E+01  0.344753E+00
   6.217800  0.242236E+01  0.346885E+00
   6.245020  0.242593E+01  0.349085E+00
   6.272230  0.242960E+01  0.351360E+00
   6.299440  0.243337E+01  0.353699E+00
   6.326650  0.243723E+01  0.356101E+00
   6.353860  0.244120E+01  0.358569E+00
   6.381070  0.244526E+01  0.361103E+00
   6.408280  0.244941E+01  0.363696E+00
   6.435490  0.245367E+01  0.366345E+00
