0.0000000914	0.82
9.16E-08	0.92
9.18E-08	0.99
9.20E-08	1.05
9.21E-08	1.12
9.23E-08	1.18
9.25E-08	1.25
9.27E-08	1.32
9.29E-08	1.38
9.31E-08	1.42
9.33E-08	1.45
9.35E-08	1.47
9.37E-08	1.49
9.38E-08	1.50
9.40E-08	1.50
9.42E-08	1.51
9.44E-08	1.51
9.46E-08	1.50
9.48E-08	1.49
9.50E-08	1.48
9.52E-08	1.47
9.54E-08	1.46
9.56E-08	1.44
9.58E-08	1.41
9.60E-08	1.37
9.62E-08	1.32
9.64E-08	1.28
9.66E-08	1.25
9.68E-08	1.22
9.70E-08	1.20
9.73E-08	1.18
9.75E-08	1.17
9.77E-08	1.16
9.79E-08	1.16
9.81E-08	1.16
9.83E-08	1.16
9.85E-08	1.17
9.87E-08	1.18
9.89E-08	1.19
9.92E-08	1.22
9.94E-08	1.24
9.96E-08	1.28
9.98E-08	1.32
1.00E-07	1.46
1.00E-07	1.40
1.00E-07	1.36
1.01E-07	1.59
1.01E-07	1.58
1.01E-07	1.55
1.01E-07	1.51
1.02E-07	1.61
1.02E-07	1.60
1.02E-07	1.60
1.02E-07	1.60
1.03E-07	1.62
1.03E-07	1.62
1.03E-07	1.62
1.03E-07	1.61
1.03E-07	1.61
1.04E-07	1.58
1.04E-07	1.59
1.04E-07	1.61
1.04E-07	1.62
1.05E-07	1.57
1.05E-07	1.57
1.05E-07	1.57
1.05E-07	1.57
1.06E-07	1.64
1.06E-07	1.61
1.06E-07	1.59
1.06E-07	1.58
1.07E-07	1.71
1.07E-07	1.70
1.07E-07	1.69
1.07E-07	1.67
1.08E-07	1.75
1.08E-07	1.74
1.08E-07	1.73
1.08E-07	1.72
1.09E-07	1.75
1.09E-07	1.76
1.09E-07	1.75
1.09E-07	1.75
1.10E-07	1.75
1.10E-07	1.74
1.10E-07	1.74
1.10E-07	1.75
1.11E-07	1.74
1.11E-07	1.75
1.11E-07	1.75
1.12E-07	1.72
1.12E-07	1.73
1.12E-07	1.73
1.12E-07	1.74
1.13E-07	1.66
1.13E-07	1.68
1.13E-07	1.69
1.13E-07	1.71
1.14E-07	1.62
1.14E-07	1.63
1.14E-07	1.64
1.15E-07	1.66
1.15E-07	1.64
1.15E-07	1.63
1.15E-07	1.62
1.16E-07	1.73
1.16E-07	1.70
1.16E-07	1.68
1.17E-07	1.78
1.17E-07	1.76
1.17E-07	1.75
1.18E-07	1.78
1.18E-07	1.79
1.18E-07	1.79
1.19E-07	1.67
1.19E-07	1.71
1.19E-07	1.75
1.19E-07	1.77
1.20E-07	1.54
1.20E-07	1.59
1.20E-07	1.63
1.21E-07	1.46
1.21E-07	1.47
1.21E-07	1.50
1.22E-07	1.48
1.22E-07	1.46
1.22E-07	1.45
1.23E-07	1.53
