#                                                                                
# Lorentzian broadening with gamma= 0.050000  [eV]
# Im(epsilon) shifted by   1.0000   [eV]
# No intraband contributions added
#
# Energy [eV]  ref_ind_xx    extinct_xx
#
   3.850410  0.227783E+01  0.494362E+00
   3.877620  0.227727E+01  0.495344E+00
   3.904840  0.227675E+01  0.496244E+00
   3.932050  0.227634E+01  0.497047E+00
   3.959260  0.227610E+01  0.497793E+00
   3.986470  0.227605E+01  0.498563E+00
   4.013680  0.227614E+01  0.499406E+00
   4.040890  0.227633E+01  0.500318E+00
   4.068100  0.227662E+01  0.501289E+00
   4.095310  0.227701E+01  0.502320E+00
   4.122530  0.227749E+01  0.503429E+00
   4.149740  0.227804E+01  0.504623E+00
   4.176950  0.227864E+01  0.505890E+00
   4.204160  0.227930E+01  0.507225E+00
   4.231370  0.228001E+01  0.508625E+00
   4.258580  0.228075E+01  0.510081E+00
   4.285790  0.228154E+01  0.511582E+00
   4.313010  0.228238E+01  0.513134E+00
   4.340220  0.228324E+01  0.514725E+00
   4.367430  0.228414E+01  0.516328E+00
   4.394640  0.228511E+01  0.517934E+00
   4.421850  0.228616E+01  0.519553E+00
   4.449060  0.228730E+01  0.521189E+00
   4.476270  0.228856E+01  0.522843E+00
   4.503490  0.228997E+01  0.524551E+00
   4.530700  0.229150E+01  0.526352E+00
   4.557910  0.229313E+01  0.528252E+00
   4.585120  0.229486E+01  0.530254E+00
   4.612330  0.229667E+01  0.532362E+00
   4.639540  0.229855E+01  0.534572E+00
   4.666750  0.230052E+01  0.536878E+00
   4.693970  0.230258E+01  0.539291E+00
   4.721180  0.230471E+01  0.541828E+00
   4.748390  0.230690E+01  0.544496E+00
   4.775600  0.230912E+01  0.547280E+00
   4.802810  0.231137E+01  0.550132E+00
   4.830020  0.231369E+01  0.553029E+00
   4.857230  0.231615E+01  0.556006E+00
   4.884450  0.231873E+01  0.559112E+00
   4.911660  0.232140E+01  0.562355E+00
   4.938870  0.232415E+01  0.565725E+00
   4.966080  0.232700E+01  0.569211E+00
   4.993290  0.232998E+01  0.572811E+00
   5.020500  0.233310E+01  0.576535E+00
   5.047710  0.233643E+01  0.580427E+00
   5.074930  0.233997E+01  0.584591E+00
   5.102140  0.234363E+01  0.589113E+00
   5.129350  0.234728E+01  0.593947E+00
   5.156560  0.235091E+01  0.599009E+00
   5.183770  0.235456E+01  0.604247E+00
   5.210980  0.235829E+01  0.609624E+00
   5.238190  0.236218E+01  0.615149E+00
   5.265400  0.236633E+01  0.620897E+00
   5.292620  0.237076E+01  0.626981E+00
   5.319830  0.237549E+01  0.633501E+00
   5.347040  0.238049E+01  0.640601E+00
   5.374250  0.238562E+01  0.648433E+00
   5.401460  0.239068E+01  0.656948E+00
   5.428670  0.239568E+01  0.666026E+00
   5.455880  0.240070E+01  0.675661E+00
   5.483100  0.240583E+01  0.685945E+00
   5.510310  0.241113E+01  0.697017E+00
   5.537520  0.241665E+01  0.709141E+00
   5.564730  0.242224E+01  0.722705E+00
   5.591940  0.242753E+01  0.737926E+00
   5.619150  0.243232E+01  0.754791E+00
   5.646360  0.243670E+01  0.773680E+00
   5.673580  0.244029E+01  0.795680E+00
   5.700790  0.244131E+01  0.821965E+00
   5.728000  0.243637E+01  0.852226E+00
   5.755210  0.242236E+01  0.882840E+00
   5.782420  0.239996E+01  0.908211E+00
   5.809630  0.237387E+01  0.924975E+00
   5.836840  0.234886E+01  0.934343E+00
   5.864060  0.232700E+01  0.938961E+00
   5.891270  0.230847E+01  0.941730E+00
   5.918480  0.229169E+01  0.943911E+00
   5.945690  0.227580E+01  0.945255E+00
   5.972900  0.226076E+01  0.945446E+00
   6.000110  0.224684E+01  0.944466E+00
   6.027320  0.223430E+01  0.942652E+00
   6.054540  0.222304E+01  0.940470E+00
   6.081750  0.221273E+01  0.938146E+00
   6.108960  0.220310E+01  0.935562E+00
   6.136170  0.219421E+01  0.932598E+00
   6.163380  0.218615E+01  0.929322E+00
   6.190590  0.217892E+01  0.925846E+00
   6.217800  0.217246E+01  0.922245E+00
   6.245020  0.216676E+01  0.918563E+00
   6.272230  0.216178E+01  0.914827E+00
   6.299440  0.215759E+01  0.911092E+00
   6.326650  0.215413E+01  0.907514E+00
   6.353860  0.215129E+01  0.904147E+00
   6.381070  0.214898E+01  0.900972E+00
   6.408280  0.214718E+01  0.897988E+00
   6.435490  0.214584E+01  0.895202E+00
   6.462710  0.214493E+01  0.892594E+00
   6.489920  0.214441E+01  0.890123E+00
   6.517130  0.214430E+01  0.887728E+00
   6.544340  0.214466E+01  0.885372E+00
   6.571550  0.214559E+01  0.883051E+00
   6.598760  0.214718E+01  0.880815E+00
   6.625970  0.214950E+01  0.878745E+00
   6.653190  0.215262E+01  0.876921E+00
   6.680400  0.215659E+01  0.875495E+00
   6.707610  0.216139E+01  0.874613E+00
   6.734820  0.216697E+01  0.874363E+00
   6.762030  0.217331E+01  0.874811E+00
   6.789240  0.218042E+01  0.876024E+00
   6.816450  0.218837E+01  0.878109E+00
   6.843670  0.219720E+01  0.881246E+00
   6.870880  0.220689E+01  0.885634E+00
   6.898090  0.221745E+01  0.891425E+00
